🤡;70
🤠;34
😏;637
😒;857
😞;295
😔;468
😟;70
😕;412
🙁;143
☹️;0
😣;213
😖;142
😫;445
😩;2187
😤;441
😠;124
😡;453
😶;159
😐;407
😑;423
😯;58
😦;40
😧;99
😮;120
😲;119
😵;110
😳;637
😱;495
😨;125
😰;109
😢;632
😥;165
🤤;295
😭;3990
😓;183
😪;293
😴;391
🙄;2068
🤔;1939
🤥;21
😬;476
🤐;68
🤢;152
🤧;106
😷;341
🤒;78
🤕;78
😀;733
😃;357
😄;528
😁;1010
😆;476
😅;966
😂;13163
🤣;600
☺️;505
😊;2082
😇;387
🙂;541
🙃;1246
😉;1206
😌;544
😍;4061
😘;1398
😗;52
😙;104
😚;162
😋;1188
😜;717
😝;318
😛;386
🤑;132
🤗;648
🤓;212
😎;1123
😈;438
👿;38
👹;44
👺;17
💩;192
👻;118
💀;832
☠️;0
👽;73
👾;21
🤖;27
🎃;8
😺;46
😸;62
😹;142
😻;277
😼;26
😽;43
🙀;33
😿;38
😾;19
👐;91
🙌;1268
👏;1025
🙏;1034
🤝;8
👍;1749
👎;149
👊;357
✊;211
🤛;12
🤜;10
🤞;114
✌️;91
🤘;457
👌;1738
👈;113
👉;333
👆;41
👇;158
☝️;27
✋;86
🤚;17
🖐;17
🖖;30
👋;169
🤙;222
💪;692
🖕;176
✍️;7
🤳💅;0
💄;35
💋;334
👄;22
👅;274
👂;20
👃;15
👣;44
👁;35
👀;779
🗣;199
👤;8
👥;6
👶;105
👦;31
👧;35
👨;95
👩;116
👱‍♀️;0
👱;21
👴;9
👵;18
👲;4
👳‍♀️;0
👳;8
👮‍♀️;0
👮;20
👷‍♀️;0
👷;5
💂‍♀️;0
💂;14
🕵️‍♀️;0
🕵️;8
👩‍;0
⚕️;6
👨‍;0
🌾;47
🍳;160
🎓;37
🎤;170
🏫;5
🏭;1
💻;48
💼;16
🔧;5
🔬;18
🎨;56
🚒;9
✈️;96
🚀;66
⚖️;15
🤶;0
🎅;11
👸;87
🤴;11
👰;43
🤵;7
👼;38
🤰;18
🙇‍♀️;0
🙇;60
💁;331
💁‍♂️;0
🙅;147
🙅‍♂️;0
🙆;78
🙆‍♂️;0
🙋;126
🙋‍♂️;0
🐻;63
🐼;24
🐨;10
🐯;57
🦁;37
🐮;27
🐷;98
🐽;18
🐸;61
🐵;13
🙊;199
🙉;43
🐒;42
🐔;51
🐧;86
🐦;68
🐤;18
🐣;76
🐥;57
🦆;33
🦅;24
🦉;12
🦇;43
🐺;24
🐗;30
🐴;34
🦄;76
🐝;111
🐛;28
🦋;56
🐌;15
🐚;14
🐞;12
🐜;22
🕷;16
🕸;5
🐢;26
🐍;50
🦎;6
🦂;4
🦀;27
🦑;1
🐙;16
🦐;10
🐠;29
🐟;61
🐡;2
🐬;26
🦈;11
🐳;29
🐋;13
🐊;28
🐆;8
🐅;7
🐃;7
🐂;20
🐄;17
🦌;7
🐪;7
🐫;6
🐘;45
🦏;5
🦍;12
🐎;29
🐖;23
🐐;70
🐏;15
🐑;37
🐕;27
🐩;10
🐈;33
🐓;21
🦃;7
🕊;25
🐇;28
🐁;7
🐀;13
🐿;14
🐾;133
🐉;13
🐲;11
🌵;112
🎄;2
🌲;58
🌳;74
🌴;136
🌱;138
🌿;119
☘️;18
🍀;173
🎍;4
🎋;6
🍃;139
🍂;18
🍁;33
🍄;31
💐;103
🌷;112
🌹;314
🥀;74
🌻;123
🌼;88
🌸;321
🌺;136
🌎;76
🌍;36
🌏;27
🌕;7
🌖;4
🌗;1
🌘;3
🌑;4
🌒;2
🌓;2
🌔;2
🌚;139
🌝;27
🌞;235
🌛;4
🌜;4
🌙;51
💫;110
⭐️;0
🌟;151
✨;861
⚡️;157
🔥;1403
💥;199
☄️;0
☀️;392
🌤;23
⛅️;0
🌥;19
🌦;12
🌈;165
☁️;46
🌧;37
⛈;13
🌩;4
🌨;6
☃️;6
⛄️;0
❄️;98
🌬;46
💨;165
🌪;25
🌫;7
🌊;183
💧;49
💦;295
☔️;0
🍏;21
🍎;59
🍐;13
🍊;68
🍋;68
🍌;246
🍉;21
🍇;39
🍓;94
🍈;6
🍒;99
🍑;68
🍍;40
🥝;11
🥑;38
🍅;43
🍆;65
🥒;27
🥕;92
🌽;37
🌶;36
🥔;27
🍠;10
🌰;11
🥜;40
🍯;30
🥐;24
🍞;126
🥖;27
🧀;50
🥚;13
🥓;65
🥞;42
🍤;31
🍗;75
🍖;37
🍕;122
🌭;28
🍔;75
🍟;50
🥙;5
🌮;41
🌯;13
🥗;28
🥘;22
🍝;29
🍜;33
🍲;38
🍥;9
🍣;19
🍱;10
🍛;19
🍚;33
🍙;6
🍘;5
🍢;11
🍡;7
🍧;35
🍨;27
🍦;176
🍰;240
🎂;553
🍮;17
🍭;59
🍬;34
🍫;254
🍿;37
🍩;86
🍪;116
🥛;10
🍼;30
☕️;0
🍵;66
🍶;3
🍺;171
🍻;297
🥂;119
🍷;205
🥃;41
🍸;83
🍹;92
🍾;190
🥄;15
🍴;155
🍽;94
⚽️;0
🏀;204
🏈;62
⚾️;239
🎾;35
🏐;31
🏉;26
🎱;19
🏓;6
🏸;4
🥅;11
🏒;32
🏑;3
🏏;19
⛳️;0
🏹;27
🎣;35
🥊;22
🥋;2
⛸;8
🎿;11
⛷;16
🏂;13
🏋️‍♀️;0
🏋️;5
🤺;5
🤼;5
‍;2604
♀️;1719
♂️;701
🤸;17
⛹️‍♀️;0
⛹️;0
🤾;3
🏌️‍♀️;0
🏌️;12
🏄‍♀️;0
🏄;28
🏊‍♀️;0
🏊;33
🚣‍♀️;0
🚣;65
🏇;17
🚴‍♀️;0
🚴;34
🚵‍♀️;0
🚵;6
🎽;7
🏅;31
🎖;5
🏆;208
🏵;7
🎗;10
🎫;14
🎟;26
🎪;11
🎭;31
🎬;88
🎧;157
🎼;128
🎹;57
🥁;13
🎷;27
🎺;21
🎸;85
🎻;36
🎲;64
🎯;33
🎳;44
🎮;25
🎰;4
🚗;90
🚕;10
🚙;27
🚌;30
🚎;0
🏎;14
🚓;5
🚑;12
🚐;3
🚚;18
🚛;5
🚜;4
🛴;0
🚲;16
🛵;5
🏍;11
🚨;118
🚔;18
🚍;8
🚘;30
🚖;4
🚡;1
🚠;3
🚟;0
🚃;1
🚋;1
🚞;4
🚝;0
🚄;3
🚅;2
🚈;0
🚂;25
🚆;2
🚇;5
🚊;3
🚉;2
