abide;abided;abode;abided;abode
arise;arose;arisen
awake;awoke;awoken
be;was;been
bear;bore;born(e)
beat;beat;beaten
become;became;become
beget;begot;begotten
begin;began;begun
behold;beheld;beheld
bend;bent;bent
beseech;besought;besought
beset;beset;beset
bet;bet;bet
bid;bid bade;bid bidden
bind;bound;bound
bite;bit;bitten
bleed;bled;bled
blend;blent;blended;blent;blended
blow;blew;blown
break;broke;broken
breed;bred;bred
bring;brought;brought
broadcast;broadcast;broadcast
build;built;built
burn;burnt;burnt
burst;burst;burst
buy;bought;bought
cast;cast;cast
catch;caught;caught
chide;chided;chid;chided;chidden;chid
choose;chose;chosen
cling;clung;clung
come;came;come
cost;cost;cost
creep;crept;crept
cut;cut;cut
deal;dealt;dealt
dig;dug;dug
do;did;done
draw;drew;drawn
dream;dreamt;dreamt
drink;drank;drunk
drive;drove;driven
dwell;dwelt;dwelt
eat;ate;eaten
fall;fell;fallen
feed;fed;fed
feel;felt;felt
fight;fought;fought
find;found;found
flee;fled;fled
fling;flung;flung
fly;flew;flown
forbid;forbade;forbidden
forget;forgot;forgotten
forgive;forgave;forgiven
forsake;forsook;forsaken
freeze;froze;frozen
get;got;got
gild;gilded;gilt;gilded;gilt
give;gave;given
go;went;gone
grind;ground;ground
grow;grew;grown
hang;hung;hung
have;had;had
have (must);had to;had to
hear;heard;heard
heave;heaved;hove;heaved;hove
hew;hewed;hewed;hewn
hide;hid;hidden
hit;hit;hit
hold;held;held
hurt;hurt;hurt
keep;kept;kept
kneel;knelt;knelt
knit;knitted;knit;knitted;knit
know;knew;known
lade;laded;laden;laded
lay;laid;laid
lead;led;led
lean;leant;leant
leap;leapt;leapt
learn;learnt;learnt
leave;left;left
lend;lent;lent
let;let;let
lie;lay;lain
light;lit;lit
lose;lost;lost
make;made;made
mean;meant;meant
meet;met;met
mistake;mistook;mistaken
mow;mowed;mown
overcome;overcame;overcome
pay;paid;paid
put;put;put
quit;quit;quitted;quit;quitted
read;read;read
rend;rent;rent
rid;rid;rid
ride;rode;ridden
ring;rang;rung
rise;rose;risen
run;ran;run
saw;sawed;sawn
say;said;said
see;saw;seen
seek;sought;sought
sell;sold;sold
send;sent;sent
set;set;set
sew;sewed;sewn
shake;shook;shaken
shave;shaved;shaved;shaven
shear;sheared;sheared;shorn
shed;shed;shed
shine;shone;shone
shit;shit;shat;shit;shat
shoe;shod;shod
shoot;shot;shot
show;showed;shown
shrink;shrank;shrunk
shut;shut;shut
sing;sang;sung
sink;sank;sunk
sit;sat;sat
slay;slew;slain
sleep;slept;slept
slide;slid;slid
sling;slung;slung
slink;slunk;slunk
Infinitive;Past Indicative;Past Participle
slit;slit;slit
smell;smelt;smelt
smite;smote;smitten
sow;sowed;sown
speak;spoke;spoken
speed;sped;sped
spell;spelt;spelt
spend;spent;spent
spill;spilled;spilt;spilled;spilt
spin;spun;spun
spit;spat;spat
split;split;split
spoil;spoilt;spoiled;spoilt;spoiled
spread;spread;spread
spring;sprang;sprung
stand;stood;stood
stave;staved;stove;staved;stove
steal;stole;stolen
stick;stuck;stuck
sting;stung;stung
stink;stank;stunk
strew;strewed;strewed;strewn
stride;strode;stridden
strike;struck;struck
string;strung;strung
strive;strove;striven
swear;swore;sworn
sweep;swept;swept
swell;swelled;swollen
swim;swam;swum
swing;swung;swung
take;took;taken
teach;taught;taught
tear;tore;torn
tell;told;told
think;thought;thought
thrive;throve;thrived;thriven;thrived
throw;threw;thrown
thrust;thrust;thrust
tread;trod;trodden
understand;understood;understood
undertake;undertook;undertaken
upset;upset;upset
wake;woke;woken
wear;wore;worn
weave;wove;woven
weep;wept;wept
win;won;won
wind;wound;wound
withdraw;withdrew;withdrawn
withhold;withheld;withheld
wring;wrung;wrung
write;wrote;written
