🤡;162
🤠;89
😏;778
😒;326
😞;237
😔;493
😟;87
😕;378
🙁;92
☹️;0
😣;165
😖;201
😫;218
😩;733
😤;170
😠;214
😡;599
😶;123
😐;251
😑;237
😯;105
😦;36
😧;83
😮;132
😲;141
😵;150
😳;912
😱;825
😨;227
😰;176
😢;620
😥;163
🤤;77
😭;1318
😓;111
😪;152
😴;446
🙄;1441
🤔;2042
🤥;34
😬;1044
🤐;46
🤢;124
🤧;26
😷;120
🤒;38
🤕;42
😀;1987
😃;1589
😄;1507
😁;1875
😆;563
😅;1199
😂;8616
🤣;677
☺️;597
😊;4106
😇;442
🙂;671
🙃;680
😉;4474
😌;370
😍;2954
😘;1473
😗;25
😙;84
😚;152
😋;457
😜;1127
😝;301
😛;186
🤑;72
🤗;474
🤓;384
😎;2050
😈;197
👿;58
👹;29
👺;36
💩;119
👻;82
💀;123
☠️;0
👽;16
👾;4
🤖;18
🎃;4
😺;24
😸;30
😹;51
😻;174
😼;18
😽;16
🙀;42
😿;17
😾;6
👐;16
🙌;797
👏;1168
🙏;936
🤝;13
👍;5096
👎;286
👊;1243
✊;159
🤛;27
🤜;18
🤞;19
✌️;233
🤘;282
👌;1777
👈;37
👉;128
👆;45
👇;130
☝️;33
✋;42
🤚;5
🖐;11
🖖;23
👋;182
🤙;122
💪;1383
🖕;107
✍️;17
🤳💅;0
💄;18
💋;164
👄;9
👅;83
👂;12
👃;6
👣;19
👁;19
👀;243
🗣;33
👤;5
👥;3
👶;60
👦;19
👧;22
👨;54
👩;66
👱‍♀️;0
👱;8
👴;23
👵;28
👲;0
👳‍♀️;0
👳;5
👮‍♀️;0
👮;27
👷‍♀️;0
👷;4
💂‍♀️;0
💂;4
🕵️‍♀️;0
🕵️;19
👩‍;0
⚕️;6
👨‍;0
🌾;8
🍳;20
🎓;10
🎤;74
🏫;9
🏭;5
💻;40
💼;23
🔧;6
🔬;2
🎨;19
🚒;10
✈️;82
🚀;44
⚖️;10
🤶;0
🎅;20
👸;30
🤴;6
👰;10
🤵;3
👼;19
🤰;3
🙇‍♀️;0
🙇;17
💁;196
💁‍♂️;0
🙅;25
🙅‍♂️;0
🙆;33
🙆‍♂️;0
🙋;147
🙋‍♂️;0
🐻;23
🐼;18
🐨;4
🐯;40
🦁;15
🐮;5
🐷;22
🐽;7
🐸;9
🐵;12
🙊;208
🙉;69
🐒;14
🐔;8
🐧;17
🐦;7
🐤;11
🐣;37
🐥;36
🦆;6
🦅;8
🦉;16
🦇;5
🐺;7
🐗;2
🐴;51
🦄;40
🐝;50
🐛;3
🦋;45
🐌;5
🐚;3
🐞;17
🐜;8
🕷;11
🕸;4
🐢;8
🐍;16
🦎;2
🦂;1
🦀;3
🦑;5
🐙;22
🦐;2
🐠;14
🐟;20
🐡;2
🐬;11
🦈;5
🐳;13
🐋;7
🐊;4
🐆;1
🐅;3
🐃;0
🐂;4
🐄;7
🦌;3
🐪;1
🐫;3
🐘;38
🦏;0
🦍;6
🐎;26
🐖;6
🐐;8
🐏;9
🐑;6
🐕;23
🐩;5
🐈;11
🐓;7
🦃;3
🕊;19
🐇;11
🐁;2
🐀;9
🐿;7
🐾;33
🐉;6
🐲;3
🌵;14
🎄;2
🌲;24
🌳;19
🌴;66
🌱;84
🌿;131
☘️;7
🍀;80
🎍;0
🎋;1
🍃;29
🍂;8
🍁;9
🍄;3
💐;95
🌷;149
🌹;297
🥀;10
🌻;70
🌼;71
🌸;293
🌺;130
🌎;37
🌍;65
🌏;27
🌕;5
🌖;1
🌗;3
🌘;1
🌑;10
🌒;3
🌓;2
🌔;0
🌚;31
🌝;18
🌞;305
🌛;3
🌜;6
🌙;27
💫;95
⭐️;0
🌟;300
✨;494
⚡️;35
🔥;441
💥;221
☄️;0
☀️;735
🌤;16
⛅️;0
🌥;4
🌦;4
🌈;98
☁️;12
🌧;22
⛈;2
🌩;1
🌨;19
☃️;12
⛄️;0
❄️;46
🌬;7
💨;73
🌪;15
🌫;6
🌊;28
💧;10
💦;61
☔️;0
🍏;9
🍎;17
🍐;4
🍊;6
🍋;12
🍌;24
🍉;16
🍇;7
🍓;19
🍈;1
🍒;18
🍑;12
🍍;16
🥝;2
🥑;17
🍅;16
🍆;23
🥒;9
🥕;9
🌽;19
🌶;16
🥔;2
🍠;0
🌰;3
🥜;1
🍯;1
🥐;5
🍞;15
🥖;7
🧀;11
🥚;6
🥓;6
🥞;7
🍤;3
🍗;16
🍖;4
🍕;52
🌭;17
🍔;21
🍟;16
🥙;1
🌮;12
🌯;3
🥗;10
🥘;2
🍝;11
🍜;4
🍲;6
🍥;4
🍣;5
🍱;2
🍛;3
🍚;4
🍙;0
🍘;0
🍢;2
🍡;1
🍧;6
🍨;10
🍦;20
🍰;26
🎂;82
🍮;1
🍭;14
🍬;14
🍫;24
🍿;16
🍩;14
🍪;13
🥛;5
🍼;9
☕️;0
🍵;9
🍶;0
🍺;122
🍻;196
🥂;127
🍷;122
🥃;21
🍸;36
🍹;45
🍾;219
🥄;0
🍴;26
🍽;16
⚽️;0
🏀;62
🏈;12
⚾️;17
🎾;11
🏐;2
🏉;0
🎱;4
🏓;6
🏸;0
🥅;79
🏒;279
🏑;21
🏏;1
⛳️;0
🏹;5
🎣;8
🥊;16
🥋;1
⛸;16
🎿;28
⛷;47
🏂;12
🏋️‍♀️;0
🏋️;4
🤺;3
🤼;1
‍;521
♀️;270
♂️;142
🤸;17
⛹️‍♀️;0
⛹️;0
🤾;19
🏌️‍♀️;0
🏌️;11
🏄‍♀️;0
🏄;17
🏊‍♀️;0
🏊;14
🚣‍♀️;0
🚣;2
🏇;10
🚴‍♀️;0
🚴;32
🚵‍♀️;0
🚵;2
🎽;1
🏅;28
🎖;9
🏆;212
🏵;4
🎗;10
🎫;3
🎟;2
🎪;1
🎭;16
🎬;23
🎧;47
🎼;74
🎹;13
🥁;25
🎷;25
🎺;24
🎸;44
🎻;9
🎲;5
🎯;33
🎳;5
🎮;18
🎰;0
🚗;59
🚕;3
🚙;14
🚌;25
🚎;0
🏎;25
🚓;10
🚑;10
🚐;5
🚚;4
🚛;7
🚜;8
🛴;1
🚲;18
🛵;2
🏍;6
🚨;43
🚔;2
🚍;1
🚘;12
🚖;1
🚡;0
🚠;0
🚟;0
🚃;6
🚋;1
🚞;2
🚝;4
🚄;4
🚅;5
🚈;0
🚂;21
🚆;3
🚇;2
🚊;6
🚉;5
🚁;2
🛩;6
🛫;15
🛬;6
🛰;1
💺;1
🛶;2
⛵️;0
🛥;1
🚤;0
🛳;5
⛴;5
🚢;16
⚓️;24
🚧;0
⛽️;0
🚏;0
🚦;4
🚥;1
🗺;4
🗿;3
🗽;5
⛲️;0
🗼;1
🏰;5
🏯;1
🏟;9
🎡;2
🎢;2
🎠;0
⛱;5
🏖;14
🏝;19
⛰;0
🏔;4
🗻;7
🌋;2
🏜;1
🏕;1
⛺️;0
🛤;0
🛣;1
🏗;6
🏠;15
🏡;26
🏘;4
🏚;2
🏢;9
🏬;1
🏣;0
🏤;0
🏥;10
🏦;1
🏨;3
🏪;2
🏩;1
💒;8
🏛;2
⛪️;0
🕌;5
🕍;2
🕋;0
⛩;0
🗾;0
🎑;1
🏞;2
🌅;10
🌄;6
🌠;6
🎇;7
🎆;8
🌇;6
🌆;4
🏙;8
🌃;6
🌌;9
🌉;1
🌁;1
🆓;4
📗;3
📕;3
⌚️;0
📱;25
📲;16
⌨️;0
🖥;6
🖨;0
🖱;1
🖲;0
🕹;12
🗜;0
💽;1
💾;1
💿;3
📀;0
📼;3
📷;143
📸;46
📹;15
🎥;61
📽;14
🎞;8
📞;12
☎️;27
📟;0
📠;0
📺;39
📻;20
🎙;23
🎚;3
🎛;2
⏱;4
⏲;3
⏰;22
🕰;11
⌛️;0
⏳;7
📡;3
🔋;3
🔌;8
💡;33
🔦;2
🕯;17
🗑;4
🛢;3
💸;88
💵;43
💴;1
💶;9
💷;0
💰;238
💳;8
💎;38
🔨;11
⚒;1
🛠;3
⛏;2
🔩;2
⚙️;4
⛓;2
🔫;184
💣;90
🔪;51
🗡;6
⚔️;8
🛡;0
🚬;7
⚰️;7
⚱️;0
🏺;1
🔮;20
📿;2
💈;3
⚗️;0
🔭;1
🕳;2
💊;21
💉;27
🌡;7
🚽;4
🚰;1
🚿;1
🛁;0
🛀;5
🛎;0
🔑;10
🗝;3
🚪;1
🛋;1
🛏;2
🛌;3
🖼;3
🛍🛒;0
🎁;39
🎈;162
🎏;2
🎀;27
🎊;61
🎉;531
🎎;3
🏮;1
🎐;0
✉️;3
📩;7
📨;1
📧;0
💌;10
📥;0
📤;0
📦;9
🏷;0
📪;0
📫;2
📬;0
📭;0
📮;0
📯;1
📜;1
📃;0
📄;1
📑;2
📊;8
📈;37
📉;26
🗒;1
🗓;2
📆;5
📅;5
📇;1
🗃;0
🗳;0
🗄;1
📋;1
📁;0
📂;1
🗂;0
🗞;4
📰;12
📓;2
📔;1
📒;1
📘;1
📙;3
📚;54
📖;12
🔖;0
🔗;7
📎;1
🖇;0
📐;1
📏;0
📌;6
📍;18
🎌;0
🏳️;26
🏴;4
🏁;25
🏳️‍🌈;0
✂️;14
🖊;2
🖋;4
✒️;1
🖌;5
🖍;1
📝;55
✏️;7
🔍;4
🔎;6
🔏;0
🔐;1
🔒;11
🔓;0
❤️;2366
💛;656
💚;788
💙;847
💜;309
🖤;189
💔;295
❣️;117
💕;1004
💞;273
💓;138
💗;316
💖;479
💘;67
💝;46
💟;35
☮️;0
✝️;4
☪️;0
🕉;1
☸️;0
✡️;1
🔯;1
🕎;2
☯️;1
☦️;0
🛐;1
⛎;0
♈️;0
♉️;0
♊️;0
♋️;0
♌️;0
♍️;0
♎️;0
♏️;0
♐️;0
♑️;0
♒️;0
♓️;0
🆔;0
⚛️;0
🉑;0
☢️;0
☣️;0
📴;2
📳;0
🈶;0
🈚️;0
🈸;0
🈺;0
🈷️;0
✴️;0
🆚;8
💮;0
🉐;0
㊙️;0
㊗️;0
🈴;0
🈵;0
🈹;0
🈲;0
🅰️;1
🅱️;1
🆎;0
🆑;1
🅾️;0
🆘;7
❌;90
⭕️;0
🛑;1
⛔️;0
📛;0
🚫;10
💯;161
💢;8
♨️;0
🚷;3
🚯;2
🚳;2
🚱;1
🔞;5
📵;1
🚭;0
❗️;0
❕;4
❓;42
❔;3
‼️;72
⁉️;10
🔅;1
🔆;17
〽️;0
⚠️;7
🚸;0
🔱;1
⚜️;5
🔰;0
♻️;7
✅;219
🈯️;0
💹;1
❇️;1
✳️;0
❎;5
🌐;8
💠;0
Ⓜ️;0
🌀;4
💤;100
🏧;0
🚾;1
♿️;1
🅿️;0
🈳;0
🈂️;0
🛂;0
🛃;1
🛄;0
🛅;0
🚹;1
🚺;0
🚼;1
🚻;0
🚮;4
🎦;2
📶;1
🈁;1
🔣;0
ℹ️;4
🔤;1
🔡;0
🔠;0
🆖;0
🆗;2
🆙;2
🆒;0
🆕;2
0️⃣;0
1️⃣;0
2️⃣;0
3️⃣;0
4️⃣;0
5️⃣;0
6️⃣;0
7️⃣;0
8️⃣;0
9️⃣;0
🔟;0
🔢;1
#️⃣;0
*️⃣;0
▶️;7
⏸;2
⏯;0
⏹;1
⏺;1
⏭;0
⏮;0
⏩;4
⏪;1
⏫;1
⏬;1
◀️;0
🔼;1
🔽;1
➡️;86
⬅️;4
⬆️;11
⬇️;29
↗️;7
↘️;3
↙️;1
↖️;0
↕️;0
↔️;1
↪️;0
↩️;0
⤴️;0
⤵️;2
🔀;1
🔁;11
🔂;3
🔄;2
🔃;3
🎵;66
🎶;273
➕;3
➖;2
➗;1
✖️;24
💲;14
💱;1
™️;6
©️;0
®️;0
〰️;0
➰;3
➿;1
🔚;1
🔙;8
🔛;10
🔝;62
✔️;98
☑️;5
🔘;2
⚪️;0
⚫️;0
🔴;112
🔵;84
🔺;1
🔻;2
🔸;13
🔹;7
🔶;29
🔷;21
🔳;0
🔲;0
▪️;4
▫️;3
◾️;0
◽️;0
◼️;0
◻️;0
⬛️;0
⬜️;0
🔈;2
🔇;0
🔉;3
🔊;9
🔔;4
🔕;1
📣;7
📢;8
👁‍🗨;0
💬;4
💭;29
🗯;3
♠️;4
♣️;3
♥️;132
♦️;6
🃏;1
🎴;0
🀄️;0
🕐;2
🕑;6
🕒;4
🕓;2
🕔;0
🕕;0
🕖;0
🕗;2
🕘;0
🕙;1
🕚;0
🕛;1
🕜;0
🕝;0
🕞;0
🕟;0
🕠;1
🕡;0
🕢;0
🕣;1
🕤;1
🕥;0
🕦;0
🕧;0
🚩;9
🇦🇫;0
🇦🇽;9
🇦🇱;2
🇩🇿;1
🇦🇸;0
🇦🇩;0
🇦🇴;0
🇦🇮;1
🇦🇶;0
🇦🇬;0
🇦🇷;2
🇦🇲;1
🇦🇼;0
🇦🇺;8
🇦🇹;1
🇦🇿;0
🇧🇸;4
🇧🇭;1
🇧🇩;1
🇧🇧;1
🇧🇾;5
🇧🇪;20
🇧🇿;0
🇧🇯;0
🇧🇲;0
🇧🇹;0
🇧🇴;1
🇧🇦;1
🇧🇼;0
🇧🇷;6
🇮🇴;0
🇻🇬;0
🇧🇳;0
🇧🇬;4
🇧🇫;2
🇧🇮;0
🇰🇭;0
🇨🇲;1
🇨🇦;10
🇮🇨;0
🇨🇻;0
🇧🇶;0
🇰🇾;0
🇨🇫;0
🇹🇩;0
🇨🇱;3
🇨🇳;4
🇨🇽;0
🇨🇨;0
🇨🇴;1
🇰🇲;0
🇨🇬;0
🇨🇩;1
🇨🇰;0
🇨🇷;0
🇨🇮;0
🇭🇷;3
🇨🇺;0
🇨🇼;0
🇨🇾;2
🇨🇿;1
🇩🇰;24
🇩🇯;0
🇩🇲;0
🇩🇴;0
🇪🇨;1
🇪🇬;7
🇸🇻;0
🇬🇶;0
🇪🇷;2
🇪🇪;2
🇪🇹;0
🇪🇺;15
🇫🇰;0
🇫🇴;2
🇫🇯;0
🇫🇮;40
🇫🇷;20
🇬🇫;0
🇵🇫;0
🇹🇫;0
🇬🇦;1
🇬🇲;0
🇬🇪;0
🇩🇪;27
🇬🇭;0
🇬🇮;0
🇬🇷;7
🇬🇱;1
🇬🇩;0
🇬🇵;0
🇬🇺;0
🇬🇹;0
🇬🇬;1
🇬🇳;1
🇬🇼;0
🇬🇾;0
🇭🇹;0
🇭🇳;0
🇭🇰;1
🇭🇺;2
🇮🇸;8
🇮🇳;1
🇮🇩;0
🇮🇷;2
🇮🇶;0
🇮🇪;2
🇮🇲;0
🇮🇱;1
🇮🇹;22
🇯🇲;0
🇯🇵;5
🇯🇪;0
🇯🇴;1
🇰🇿;1
🇰🇪;0
🇰🇮;0
🇽🇰;1
🇰🇼;0
🇰🇬;0
🇱🇦;0
🇱🇻;1
🇱🇧;0
🇱🇸;0
🇱🇷;1
🇱🇾;0
🇱🇮;0
🇱🇹;0
🇱🇺;2
🇲🇴;0
🇲🇰;1
🇲🇬;0
🇲🇼;0
🇲🇾;1
🇲🇻;0
🇲🇱;0
🇲🇹;0
🇲🇭;0
🇲🇶;0
🇲🇷;0
🇲🇺;0
🇾🇹;0
🇲🇽;3
🇫🇲;0
🇲🇩;0
🇲🇨;0
🇲🇳;0
🇲🇪;0
🇲🇸;0
🇲🇦;1
🇲🇿;1
🇲🇲;0
🇳🇦;0
🇳🇷;0
🇳🇵;0
🇳🇱;2
🇳🇨;0
🇳🇿;0
🇳🇮;0
🇳🇪;0
🇳🇬;19
🇳🇺;0
🇳🇫;0
🇰🇵;0
🇲🇵;0
🇳🇴;48
🇴🇲;0
🇵🇰;0
🇵🇼;0
🇵🇸;1
🇵🇦;0
🇵🇬;0
🇵🇾;2
🇵🇪;1
🇵🇭;0
🇵🇳;0
🇵🇱;1
🇵🇹;10
🇵🇷;0
🇶🇦;0
🇷🇪;0
🇷🇴;1
🇷🇺;13
🇷🇼;0
🇼🇸;0
🇸🇲;0
🇸🇦;4
🇸🇳;0
🇷🇸;3
🇸🇨;0
🇸🇱;0
🇸🇬;1
🇸🇽;0
🇸🇰;0
🇸🇮;1
🇬🇸;0
🇸🇧;0
🇸🇴;1
🇿🇦;3
🇰🇷;1
🇸🇸;4
🇪🇸;39
🇱🇰;0
🇧🇱;0
🇸🇭;1
🇰🇳;0
🇱🇨;1
🇵🇲;0
🇻🇨;0
🇸🇩;0
🇸🇷;0
🇸🇿;0
🇸🇪;666
🇨🇭;3
🇸🇾;2
🇹🇼;0
🇹🇯;0
🇹🇿;1
🇹🇭;6
🇹🇱;0
🇹🇬;0
🇹🇰;0
🇹🇴;0
🇹🇹;1
🇹🇳;1
🇹🇷;8
🇹🇲;0
🇹🇨;0
🇹🇻;0
🇻🇮;0
🇺🇬;0
🇺🇦;1
🇦🇪;1
🇬🇧;34
🇺🇸;64
🇺🇾;1
🇺🇿;0
🇻🇺;0
🇻🇦;0
🇻🇪;2
🇻🇳;0
🇼🇫;0
🇪🇭;0
🇾🇪;1
🇿🇲;0
🇿🇼;0
☹;148
☠;54
⌛;1
⌚;10
♈;0
♉;0
♊;0
♋;0
♌;0
♍;0
♎;0
♏;0
♐;0
♑;0
♒;2
♓;1
☂️;4
☄;12
⌨;1
☸;0
☦;0
☪;2
☮;5
☢;0
☣;1
#⃣️;0
0⃣️;0
1⃣️;0
2⃣️;0
3⃣️;0
4⃣️;0
5⃣️;0
6⃣️;0
7⃣️;0
8⃣️;0
9⃣️;0
◽;0
◾;0
☕;256
☔;11
⏏;0
⚪;111
⚫;79
🀄;0
⭐;191
⬛;3
⬜;0
⛑;2
⛪;7
⛲;0
⛺;3
⛽;4
⛵;6
⛔;3
⛅;12
⛄;11
⚽;482
⛳;41
⛹;5
⭕;1
❗;43
