power;💪
nap;😩
till;🚦
norge;🇳🇴
i;🇸🇦
sommar;💭
jag;➿
ska;🐌
cykla;🚲
med;🍤
min;🍥
syster;🥂
det;🔋
kommer;🐅
bli;🏌️
kul;🆓
farlig;🌿
bil;🤖
bpt;none
båt;⛴
bot;👍
stockholm;📍
göteborg;⚓️
boom;✅
miljö;🌿
pari;none
parti;🌿
aktie;🍀
spara;🍅
bank;😡
anka;😉
kalle;✔️
anna;🍀
madelene;😊
annie;👏
kinberg;😂
stefan;💛
maja;😍
lova;🤥
oskar;❤️
bosse;💣
fres;none
fred;🕊️
konst;🎨
konstig;🤔
och;➕
katt;😸
va;❓
hemma;🏡
kolla;👀
på;🔝
youtube;📹
val;🐳
död;☠️
osmart;😝
dumt;😝
idiot;🤤
rasist;🖕
block;🤡
troll;😏
svd;📰
dn;📰
aftonbladet;📰
svt;📺
sr;📻
expressen;📰
kniv;🔪
kalla;😗
mig;➿
film;🎥
såg;🐠
en;🕒
om;🦎
bio;🎬
var;🍈
la;™️
land;🇩🇰
danmark;🇩🇰
ryssland;🇷🇺
kina;🇨🇳
indien;🇮🇳
iran;🇮🇷
turkiet;🇹🇷
israel;🇮🇱
grekland;🇬🇷
kroatien;🇭🇷
italien;🇮🇹
frankrike;🇫🇷
sverige;🇸🇪
portugal;🇵🇹
spanien;🇪🇸
löfven;🎅
tomte;🎅
jul;🎄
hjul;☸️
volvo;🚗
torslanda;🚗
öckerö;none
gbg;🍽
sthlm;🚢
tallin;none
polen;✋
island;🦍
apa;🤔
hund;🐕
ko;🎉
häst;🐎
svan;😎
fågel;🍾
champagne;🍾
tur;🗻
under;🇪🇷
början;✈️
kunde;🔁
enbart;☕
rika;😎
personer;🕯
rösta;🌟
gjorde;🥘
att;🛢
socialdemokraterna;🌹
hade;⛔
svårt;🔫
få;🕰
igenom;📗
sina;🛬
förslag;☎️
därför;☠
blev;🍝
lika;🌪
första;➿
viktigaste;🏳️
krav;🐮
hjalmar;none
branting;none
socialdemokratins;none
representant;😊
riksdagen;❓
hans;👺
säkrats;none
stöd;🌽
av;🍈
vissa;🙉
stockholmskretsar;none
valdes;😂
ytterligare;👿
tre;📻
fortfarande;🎀
dock;✍️
rösträtten;none
inkomst;🤔
förmögenhet;🤣
stora;🚌
folkflertalet;none
som;🇨🇳
stödde;none
från;✉️
den;🇨🇳
politiska;🙌
makt;😡
år;➿
anordnades;none
större;🚗
demonstration;👍
norra;🚌
bantorget;none
allmän;😠
gick;🦑
ut;🚉
maj;☮
för;➿
ge;💬
åt;™️
rösträttsreform;none
efter;🇪🇷
omfattande;😯
opinionsyttringar;none
form;🤢
strejker;none
stor;🐝
folkopinion;none
lyckades;➡️
de;🦑
konservativa;😃
gå;☔
rösträttskomp;none
bi;🐝
per;😶
albin;😕
hansson;💔
fungerade;🙃
ordförande;🤠
partiets;➡️
verkställande;none
utskott;😊
brantings;none
vid;🔦
partikongressen;none
han;🐟
partiet;➡️
året;⚫
innan;📖
valts;😎
riksdagsgruppen;none
samma;🕵️
höll;🕹
också;🎎
folkhemstalet;none
ha;📼
erinrat;none
man;🔍
olika;⁉️
sammanhang;🌿
gärna;❎
talade;😔
samhället;🏘️
staten;🏰
kommunen;😞
gemensamma;😎
hemmet;👴
medborgarhemmet;none
ville;📼
understryka;none
grundval;none
är;📙
gemensamheten;none
samkänslan;none
goda;🍸
känner;🍲
icke;❌
några;🍲
privilegierade;none
eller;🐖
tillbakasatta;none
inga;😿
kelgrisar;none
styvbarn;none
där;🧀
ser;🦇
ner;🐮
andre;😜
försöker;🌍
ingen;🥒
skaffa;💯
sig;🔍
fördel;😇
bekostnad;🔎
trycker;🙃
svage;none
råder;😉
likhet;😂
omtanke;💙
samarbete;🍵
visade;🇺🇸
ännu;🕊
lång;💼
väg;🤖
mot;🚄
socialdemokratin;none
slog;👿
alla;📿
rekord;😪
kommunistskräckens;none
tecken;🐙
ägde;🙇
valet;🇫🇷
rum;♥️
gått;🐤
historien;😳
namnet;👀
kosackvalet;none
genom;👮
sin;📼
propaganda;😂
nå;😤
rekordartad;none
mobilisering;none
väljare;🤡
därmed;❌
vinna;🎮
trots;📡
betydande;none
röstökning;none
allemojis;none
emoji;👆
hej;🏓
du;🇭🇺
historiskt;😂
vändpunkt;none
svensk;🐾
politik;🌍
seger;🏅
gången;➿
kom;🍂
minoritet;🇸🇪
inom;🎻
väljarkåren;none
men;🐨
kampen;💞
huvuduppgift;none
regeringen;🌿
samverkan;🌟
bondeförbundet;none
skapades;none
underlag;👍
ett;⛏
nytt;⚾️
skede;none
demokratiska;😊
landet;💩
förhindra;😵
nazismen;none
fick;🥘
fotfäste;none
wigforss;none
ny;⏳
ekonomisk;🤔
investeringar;😳
ökade;🤔
arbetslöshetspolitiken;none
förändrades;none
både;🚘
utformning;none
sitt;🤧
innehåll;😳
statliga;🎈
mångdubblades;none
bostadsfrågan;none
samtidigt;👵
fram;🕒
centrum;🌸
målmedvetna;none
samhällspolitiska;none
eftersom;💂
bostadsstandarden;none
arbetarhushåll;none
barnfamiljer;👪
gamla;🔸
all;😽
kritik;😇
över;🕒
hälften;😷
arbetarfamiljerna;👨‍🏭👪
barn;👶
bodde;🙂
lägenheter;😩
högst;💫
kök;😎
nyårsuttalande;none
försök;☹
kombinera;😊
klasskampsideologin;none
folkhemsideologin;none
förstår;⛔
nämligen;🙂
inte;🦎
dem;🚑
vår;🌡
